bàngōngjīn;1/2 kg daging ayam
càishì;pasar awam / pasar sayur
chǎo;goreng biasa / tumis
chī;makan
chīfàn;makan / makan nasi
chāoshì;pasar raya / supermarket
chòu;busuk
dàgài;kira-kira / anggaran
dàn;tawar
de;kepunyaan
děngděng;dan lain-lain / dll
dòufu;tahu
dōu;semua
duōjiǔ;berapa lama
èrshí;dua puluh
èrshíqī;dua puluh tujuh
fānqié;tomato
fānqié chǎodàn;telur hancur tumis tomato / telur goreng tomato
fēnzhōng;minit
fùxí;ulang kaji
gè;biji / buah (penjodoh bilangan umum)
gōngjīn / Gongjin;kilogram / kg
gōngkè;latihan / kerja rumah
hànbǎo;burger
Hànzì;tulisan Cina / aksara Cina
hǎo;baik / OK / siap / selesai
hǎode;baiklah / OK
háiyào;masih mahu / juga nak
hé;dan
hěn;sangat
hòu;selepas / kemudian
huíjiā;balik rumah
jī;ayam
jǐ;berapa
jiān;goreng sederhana / pan-fry
jiǎndān;mudah / senang
jiārù;masukkan / tambah masuk
jīdàn;telur ayam
jīntiān;hari ini
jīntiān wǎnshang;malam ini
jīròu;daging ayam
jiù;sudah / terus
jiǔ;sembilan
kāishǐ;mula
kàn;lihat / baca / tengok
kěyǐ;boleh
kuài;ringgit / mata wang (unit asas wang)
kuàishúmiàn;mi segera / mi ekspres
liàng gōngjīn niúròu;2 kg daging lembu
liàngcǐ;penjodoh bilangan
mài;jual
mǎi;beli
mǎicài;membeli barang dapur / sayur
máo;sen (unit kecil di bawah kuài)
mǐ;beras
mingtian;esok
nà;kalau begitu / jadi
nàxiē;itu semua / itu
nǐ;awak / kamu
nǐmen;korang / kamu semua
níngméngjī;ayam lemon
níngméngzhī;jus lemon
niúnǎi;susu lembu
niúròu;daging lembu
píngguǒ;epal
qǐng;belanja / menjemput
qù;pergi
qiē;potong / hiris
ránhòu;kemudian / selepas itu
sān;tiga
shàngkè;menghadiri kelas / belajar di kelas
shénme;apa
shí;sepuluh
shí gè jīdàn;10 biji telur
shíwǔ;lima belas
shì;ya / betul
shū;buku
shūcài;sayur-sayuran
shuǐguǒ;buah-buahan
sì;empat
tāmen;mereka
tiáo;ekor (penjodoh bilangan untuk benda panjang/haiwan)
wán;main
wǎncān;makan malam
wǒ;saya
wǒmen;kami / kita
wǔ;lima
wǔcān;makan tengah hari
xǐ;basuh / cuci
xiàgè xīngqī;minggu depan
xiān;dahulu / terlebih dahulu
xiāng;wangi / sedap (aroma)
xiànzài;sekarang
xiàwǔ;petang
xiě;tulis
xǐhuan;suka
xīnxiān;segar
xiǎoshí;jam
xīngqī;minggu
yángròu;daging kambing
yào;mahu / nak / perlu
yāròu;daging itik
yèshì;pasar malam
yī;satu
yī tiao yu;1 ekor ikan
yínháng;bank
yīnggāi;sepatutnya / harus
yóu;minyak
yóuxì;permainan / game
yú;ikan
zǎocān;sarapan pagi
zěnme;bagaimana / macam mana
zěnme zuo zhongguocai;bagaimana memasak masakan cina
zěnmeyàng;bagaimana / amacam
zhá;goreng garing / deep-fry
zhè běn;ini / naskhah ini (penjodoh bilangan buku)
zhè gè;ini / yang ini
zhēng;kukus
zhèxiē;ini semua / ini
zhongliang;unit timbang
zhūròu;daging babi
zhǔnbèi;sedia / menyediakan
zuò;buat / memasak
zuòfàn;memasak / membuat makanan
zuòtian;semalam

